chunk_id,chunk_id_legacy,chapter,level,fragment_type,hierarchy_path,parent_chunk_id,title,content,token_count,is_regulatory,is_stub,keywords,metadata_json
ch1,ch1,1,1,chapter,Ch1,,Chapter 1. How to Use This Manual,Chapter 1. How to Use This Manual,9,False,True,"[""this"", ""how"", ""use"", ""manual"", ""chapter""]","{""chunk_id"": ""ch1"", ""chunk_id_legacy"": ""ch1"", ""parent_chunk_id"": null, ""fragment_type"": ""chapter"", ""level"": 1, ""chapter"": 1, ""hierarchy_path"": ""Ch1"", ""is_regulatory"": false, ""is_stub"": true, ""token_count"": 9, ""keywords"": [""this"", ""how"", ""use"", ""manual"", ""chapter""]}"
ch1-1-1-1,ch1-1-1-1,1,3,subsection,Ch1/IMPORTANT,ch1-1-1,IMPORTANT,"This manual is an educational reference. Local laws, state regulations, provincial regulations, national regulations, manufacturer instructions, permit conditions, and health department requirements always take priority over any recommendation in this book. When requirements conflict: Follow applicable law. Follow health department requirements. Follow equipment manufacturer instructions. Use this manual as supplemental guidance. The CDC Model Aquatic Health Code is intended as a science-based model that jurisdictions may adopt in whole, in part, or modify. It is not automatically law. (CDC)",100,True,False,"[""health"", ""important"", ""this"", ""regulations""]","{""chunk_id"": ""ch1-1-1-1"", ""chunk_id_legacy"": ""ch1-1-1-1"", ""parent_chunk_id"": ""ch1-1-1"", ""fragment_type"": ""subsection"", ""level"": 3, ""chapter"": 1, ""hierarchy_path"": ""Ch1/IMPORTANT"", ""is_regulatory"": true, ""is_stub"": false, ""token_count"": 100, ""keywords"": [""health"", ""important"", ""this"", ""regulations""]}"
ch1-1-1,ch1-1-1,1,2,section,Ch1/1.1 Purpose of This Manual,ch1,1.1 Purpose of This Manual,"Welcome. This manual is designed to help commercial pool operators develop practical operating skills while also providing structured study support for operator training programs. It focuses on the daily responsibilities required to operate a commercial swimming pool safely, consistently, and professionally. The primary goals of this manual are to help you: Operate commercial aquatic facilities safely. Understand why operating procedures exist. Learn the basic science behind water treatment. Perform routine inspections with confidence. Respond appropriately to common operating problems. Develop the calculation skills needed for everyday operation. Build knowledge that supports professional certification preparation. This manual emphasizes operational competence rather than memorization. Every chapter is organized so that you can apply the information immediately during inspections, maintenance, and water testing. The recommendations throughout this book are based on publicly available guidance from the U.S. Centers for Disease Control and Prevention (CDC), particularly the Model Aquatic Health Code (MAHC), together with public educational information from CDC Healthy Swimming resources and publicly available descriptions of the Certified Pool Operator (CPO) program. The MAHC is guidance—not federal law—and becomes enforceable only if adopted by a local authority. Always follow the requirements that apply in your jurisdiction. (CDC)",233,True,False,"[""purpose"", ""manual"", ""this"", ""commercial""]","{""chunk_id"": ""ch1-1-1"", ""chunk_id_legacy"": ""ch1-1-1"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.1 Purpose of This Manual"", ""is_regulatory"": true, ""is_stub"": false, ""token_count"": 233, ""keywords"": [""purpose"", ""manual"", ""this"", ""commercial""]}"
ch1-1-2,ch1-1-2,1,2,section,Ch1/1.2 What This Book Is,ch1,1.2 What This Book Is,This manual is: A practical operating guide. A study companion. A reference for everyday procedures. A troubleshooting resource. A calculation workbook. A checklist library. A quick-reference handbook for routine operations. It is written for: First-time commercial pool operators. Facility maintenance staff. Aquatic supervisors. Recreation departments. Hotel pool operators. School pool operators. Apartment and HOA pool staff. Waterpark maintenance personnel. The procedures emphasize systematic decision-making instead of relying on experience alone.,94,False,False,"[""this"", ""reference"", ""operators"", ""book"", ""what"", ""pool""]","{""chunk_id"": ""ch1-1-2"", ""chunk_id_legacy"": ""ch1-1-2"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.2 What This Book Is"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 94, ""keywords"": [""this"", ""reference"", ""operators"", ""book"", ""what"", ""pool""]}"
ch1-1-4,ch1-1-4,1,2,section,Ch1/1.4 How This Manual Is Organized,ch1,1.4 How This Manual Is Organized,Each chapter focuses on one major operational topic. Typical chapter structure includes: This structure allows you to quickly locate information during daily operation without reading the entire book.,31,False,False,"[""structure"", ""this"", ""how"", ""each"", ""organized"", ""manual"", ""chapter""]","{""chunk_id"": ""ch1-1-4"", ""chunk_id_legacy"": ""ch1-1-4"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.4 How This Manual Is Organized"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 31, ""keywords"": [""structure"", ""this"", ""how"", ""each"", ""organized"", ""manual"", ""chapter""]}"
ch1-1-5,ch1-1-5,1,2,section,Ch1/1.5 How to Read the Procedures,ch1,1.5 How to Read the Procedures,Most operating procedures follow the same format. Example:,10,False,False,"[""the"", ""most"", ""operating"", ""how"", ""read"", ""procedures""]","{""chunk_id"": ""ch1-1-5"", ""chunk_id_legacy"": ""ch1-1-5"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.5 How to Read the Procedures"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 10, ""keywords"": [""the"", ""most"", ""operating"", ""how"", ""read"", ""procedures""]}"
ch1-1-6,ch1-1-6,1,2,section,Ch1/1.6 Using the Checklists,ch1,1.6 Using the Checklists,"Checklists are designed to reduce human error. Instead of relying on memory, perform each item in sequence. Typical checklist categories include:",26,False,False,"[""the"", ""reduce"", ""designed"", ""using"", ""checklists""]","{""chunk_id"": ""ch1-1-6"", ""chunk_id_legacy"": ""ch1-1-6"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.6 Using the Checklists"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 26, ""keywords"": [""the"", ""reduce"", ""designed"", ""using"", ""checklists""]}"
ch1-1-7,ch1-1-7,1,2,section,Ch1/1.7 Using the Calculation Chapters,ch1,1.7 Using the Calculation Chapters,Several chapters teach calculations used during commercial pool operation. Each calculation follows the same format.,17,False,False,"[""several"", ""teach"", ""calculation"", ""the"", ""using"", ""chapters""]","{""chunk_id"": ""ch1-1-7"", ""chunk_id_legacy"": ""ch1-1-7"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.7 Using the Calculation Chapters"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 17, ""keywords"": [""several"", ""teach"", ""calculation"", ""the"", ""using"", ""chapters""]}"
ch1-1-8,ch1-1-8,1,2,section,Ch1/1.8 Typical Educational Targets,ch1,1.8 Typical Educational Targets,Throughout this manual you will see operating ranges identified as:,11,False,False,"[""throughout"", ""this"", ""educational"", ""targets"", ""typical"", ""manual""]","{""chunk_id"": ""ch1-1-8"", ""chunk_id_legacy"": ""ch1-1-8"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.8 Typical Educational Targets"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 11, ""keywords"": [""throughout"", ""this"", ""educational"", ""targets"", ""typical"", ""manual""]}"
ch1-1-9,ch1-1-9,1,2,section,Ch1/1.9 Icons Used Throughout This Manual,ch1,1.9 Icons Used Throughout This Manual,"For consistency, each instruction begins with an action word. These action words make procedures easier to scan during routine operation.",23,False,False,"[""used"", ""throughout"", ""this"", ""icons"", ""action"", ""consistency"", ""each"", ""manual""]","{""chunk_id"": ""ch1-1-9"", ""chunk_id_legacy"": ""ch1-1-9"", ""parent_chunk_id"": ""ch1"", ""fragment_type"": ""section"", ""level"": 2, ""chapter"": 1, ""hierarchy_path"": ""Ch1/1.9 Icons Used Throughout This Manual"", ""is_regulatory"": false, ""is_stub"": false, ""token_count"": 23, ""keywords"": [""used"", ""throughout"", ""this"", ""icons"", ""action"", ""consistency"", ""each"", ""manual""]}"
